Фраза = Перевод | Частота | Важность DGT | Самостоятельная ценность | Маркерная ценность | Частотность слов ÷ 6 | Общий рейтинг
¿Debe ceder el paso al vehículo blanco = Должны ли вы уступить дорогу белому автомобилю | 1 | 3 | 3 | 6 | 12.33 | 25.33
en caso de accidente = в случае ДТП | 2 | 3 | 2 | 5 | 12 | 24
accidente de tráfico = дорожно-транспортное происшествие | 1 | 3 | 2 | 4 | 13 | 23
evitar un accidente = предотвратить ДТП | 1 | 3 | 1 | 4 | 14 | 23
¿Dónde está prohibido circular = Где запрещено движение транспорта | 1 | 3 | 2 | 0 | 17 | 23
implicado en un accidente = участвовавший в ДТП | 2 | 3 | 2 | 4 | 11.83 | 22.83
tener un accidente = попасть в ДТП | 1 | 3 | 1 | 4 | 12.33 | 21.33
adelantar detrás de otro vehículo = обгонять вслед за другим автомобилем | 1 | 2 | 2 | 3 | 13.33 | 21.33
sufrir un accidente = попасть в ДТП | 1 | 3 | 1 | 4 | 12 | 21
autoriza circular por el carril = разрешает движение по полосе | 1 | 0 | 2 | 0 | 17.83 | 20.83
accidente grave = тяжёлое ДТП | 1 | 3 | 1 | 4 | 11.67 | 20.67
adelantar a un vehículo = обгонять транспортное средство | 1 | 2 | 2 | 3 | 12.67 | 20.67
accidente mortal = ДТП со смертельным исходом | 1 | 3 | 1 | 4 | 11 | 20
la calzada goza de prioridad = дорога имеет приоритет | 1 | 3 | 2 | 4 | 9.67 | 19.67
Mantener la distancia de seguridad = Соблюдайте безопасную дистанцию | 1 | 2 | 3 | 6 | 6.67 | 18.67
vía interurbana = загородная дорога | 1 | 2 | 3 | 5 | 7.33 | 18.33
circular de noche = двигаться ночью | 1 | 0 | 2 | 0 | 15.17 | 18.17
La distancia de seguridad = Безопасное расстояние | 1 | 2 | 3 | 6 | 6 | 18
Circular con el escape libre = Передвигаться без глушителя (свободный выхлоп) | 1 | 0 | 2 | 0 | 15 | 18
circular en fila = двигаться друг за другом | 1 | 0 | 2 | 0 | 15 | 18
velocidad máxima permitida = максимально разрешённая скорость | 1 | 2 | 3 | 6 | 5.17 | 17.17
va a cambiar de carril para adelantar = Он собирается перестроиться в другой ряд, чтобы совершить обгон | 1 | 3 | 2 | 4 | 7 | 17
Cuando existe nieve en la calzada = Когда на дороге лежит снег | 1 | 2 | 2 | 3 | 9 | 17
la mitad de la calzada = половина проезжей части | 1 | 2 | 2 | 3 | 9 | 17
circular lentamente = двигаться медленно | 1 | 0 | 1 | 0 | 15 | 17
nieve en la calzada = снег на проезжей части | 1 | 2 | 2 | 3 | 8.83 | 16.83
borde de la calzada = край проезжей части | 1 | 2 | 2 | 3 | 8.5 | 16.5
en la calzada = на проезжей части | 1 | 2 | 2 | 3 | 8.33 | 16.33
pintada en la calzada = нанесённая на проезжую часть | 1 | 2 | 2 | 3 | 8.33 | 16.33
velocidad máxima autorizada = максимально разрешённая скорость | 1 | 2 | 3 | 6 | 4.17 | 16.17
la velocidad y las condiciones de adherencia y frenado = скорость, сцепление и условия торможения | 1 | 3 | 2 | 4 | 6.17 | 16.17
parar y ceder el paso = Остановись и уступи дорогу | 1 | 2 | 3 | 6 | 4 | 16
estar permitido = быть разрешённым | 2 | 3 | 3 | 6 | 1.5 | 15.5
realizar un cambio de sentido = выполнить разворот | 1 | 2 | 3 | 6 | 3.5 | 15.5
sistema de seguridad = система безопасности | 1 | 3 | 2 | 4 | 5.5 | 15.5
Testigo de freno de estacionamiento = индикатор ручника | 1 | 3 | 2 | 4 | 5.33 | 15.33
Aumentar la velocidad = Увеличьте скорость | 2 | 2 | 2 | 3 | 6.33 | 15.33
Disminuir la velocidad = Замедлять | 1 | 2 | 2 | 3 | 7.33 | 15.33
calzada mojada = мокрая проезжая часть | 1 | 2 | 1 | 3 | 8.33 | 15.33
calzada seca = сухая проезжая часть | 1 | 2 | 1 | 3 | 8.33 | 15.33
estar prohibido = быть запрещённым | 1 | 3 | 3 | 6 | 2.17 | 15.17
distancia de frenado = тормозной путь | 2 | 2 | 3 | 5 | 3.17 | 15.17
no debe penetrar en la intersección = Оно не должно пересекать перекресток. | 1 | 3 | 2 | 3 | 5.83 | 14.83
las circunstancias de la vía = условия, обстоятельства дороги | 1 | 2 | 2 | 2 | 7.5 | 14.5
estar obligado a = быть обязанным | 1 | 3 | 3 | 6 | 1.33 | 14.33
Permiso de circulación = регистрация авто | 1 | 2 | 3 | 6 | 2.33 | 14.33
cambio de rasante de visibilidad reducida = перелом профиля дороги с ограниченной видимостью | 1 | 2 | 2 | 5 | 4.17 | 14.17
intersección con prioridad de la derecha = перекрёсток, где действует правило помехи справа | 1 | 2 | 2 | 3 | 6.17 | 14.17
paso para peatones = пешеходный переход | 1 | 2 | 3 | 6 | 2 | 14
la seguridad vial = безопасность дорожного движения | 1 | 2 | 2 | 5 | 4 | 14
la señal menos restrictiva = менее ограничивающий (более мягкий) знак | 1 | 2 | 2 | 5 | 4 | 14
la señal más restrictiva = более ограничивающий (более строгий) знак | 1 | 2 | 2 | 5 | 4 | 14
realizar una señal = подать сигнал | 1 | 2 | 2 | 3 | 6 | 14
señal de circulación = сигнал или знак регулирования движения | 1 | 2 | 2 | 3 | 6 | 14
¿Puede afectar la carga excesiva a los neumáticos? = Может ли перегрузка влиять на шины? (sí / да) | 1 | 2 | 2 | 3 | 6 | 14
tener intención de adelantar = иметь намерение обгонять | 2 | 2 | 2 | 3 | 4.83 | 13.83
intersección con prioridad = перекрёсток, где ваша дорога имеет приоритет | 1 | 2 | 2 | 3 | 5.67 | 13.67
avería del alumbrado de corto alcance = неисправность ближнего света | 1 | 2 | 2 | 2 | 6.67 | 13.67
permitir detener el vehículo = позволять остановить автомобиль | 1 | 0 | 1 | 0 | 11.67 | 13.67
cambio de sentido = разворот | 1 | 2 | 3 | 6 | 1.5 | 13.5
un cambio de sentido = смена направления движения (разворот) | 1 | 2 | 3 | 6 | 1.5 | 13.5
ceder el paso = уступать дорогу | 1 | 2 | 3 | 6 | 1.33 | 13.33
Luz antiniebla delantera = передние противотуманки | 1 | 2 | 3 | 6 | 1.33 | 13.33
Luz antiniebla trasera = задние противотуманки | 1 | 2 | 3 | 6 | 1.33 | 13.33
superando la tasa de alcohol = превышая уровень алкоголя | 1 | 2 | 3 | 6 | 1.33 | 13.33
En caso de emergencia = В случае чрезвычайной ситуации | 1 | 3 | 2 | 5 | 2.33 | 13.33
Un peatón pretende cruzar = Пешеход собирается перейти дорогу | 1 | 2 | 2 | 3 | 5.33 | 13.33
vía prioritaria = главная дорога | 1 | 2 | 1 | 2 | 7.33 | 13.33
vía urbana = городская дорога | 1 | 2 | 1 | 2 | 7.33 | 13.33
presencia del vehículo = присутствие транспортного средства | 1 | 0 | 2 | 0 | 10.33 | 13.33
si un vehículo se avería = если автомобиль сломался | 1 | 0 | 1 | 0 | 11.33 | 13.33
MMA (masa máxima autorizada) = максимально разрешённая масса | 1 | 2 | 3 | 6 | 1.17 | 13.17
Cualquier conductor está obligado a = Любой водитель обязан | 1 | 3 | 1 | 0 | 8.17 | 13.17
abandonar la vía por un carril de deceleración = съезжайте с дороги через полосу замедления | 1 | 0 | 2 | 0 | 10.17 | 13.17
en caso de = в случае | 2 | 3 | 2 | 5 | 1 | 13
seguridad vial = безопасность дорожного движения | 1 | 2 | 1 | 5 | 4 | 13
el airbag frontal = фронтальная подушка безопасности | 1 | 3 | 1 | 4 | 3.83 | 12.83
llevar puesto un casco = → носить надетый шлем | 1 | 3 | 1 | 4 | 3.83 | 12.83
vehículo que se aproxima por la derecha = транспортное средство, приближающееся справа | 1 | 0 | 2 | 0 | 9.83 | 12.83
carretera convencional = обычная дорога | 1 | 2 | 3 | 5 | 1.67 | 12.67
Moderar la velocidad = Умерить скорость / замедлить скорость | 2 | 2 | 2 | 3 | 3.67 | 12.67
reducir la velocidad = снизить скорость | 1 | 2 | 2 | 3 | 4.67 | 12.67
maniobra de adelantamiento = манёвр обгона | 1 | 2 | 2 | 2 | 5.67 | 12.67
peligro de atropello = опасность наезда на пешехода | 1 | 2 | 2 | 2 | 5.67 | 12.67
aproxima algún vehículo = приближается транспортное средство | 1 | 0 | 2 | 0 | 9.67 | 12.67
La carga se descarga, pero no se deposita en la vía = Груз можно разгружать, но нельзя оставлять его на дороге как склад | 1 | 0 | 2 | 0 | 9.67 | 12.67
según el orden de prioridad = согласно порядку приоритета | 1 | 3 | 2 | 5 | 1.5 | 12.5
visibilidad reducida = ограниченная видимость | 1 | 2 | 1 | 5 | 3.5 | 12.5
vehículo de urgencia = транспортное средство экстренной службы | 1 | 0 | 2 | 0 | 9.5 | 12.5
en caso de impacto frontal = в случае фронтального (лобового) удара | 1 | 3 | 2 | 5 | 1.33 | 12.33
distancia de detención = остановочный путь | 2 | 0 | 3 | 5 | 2.33 | 12.33
carece de señalización de frenado = в нем отсутствует сигнализация торможения | 1 | 3 | 2 | 4 | 2.33 | 12.33
dispositivo de preseñalización de peligro = устройство обозначения опасности | 1 | 2 | 2 | 3 | 4.33 | 12.33
mantener la velocidad = сохранять скорость | 1 | 2 | 2 | 3 | 4.33 | 12.33
vehículo de hasta nueve plazas = транспортное средство до девяти мест | 1 | 0 | 2 | 0 | 9.33 | 12.33
vehículo de propulsión = автомобиль с задним приводом. | 1 | 0 | 2 | 0 | 9.33 | 12.33
advertir el propósito de adelantar = предупредить о намерении выполнить обгон | 1 | 2 | 2 | 3 | 4.17 | 12.17
señal realizada con el brazo = сигнал, поданный рукой | 1 | 2 | 2 | 3 | 4.17 | 12.17
parte posterior del vehículo = задняя часть транспортного средства | 1 | 0 | 1 | 0 | 10.17 | 12.17
Tarjeta de inspección técnica = техосмотр | 1 | 2 | 2 | 6 | 1 | 12
En caso de reventón = в случае взрыва (шины) | 1 | 3 | 2 | 5 | 1 | 12
Estacionamiento en línea = параллельная парковка | 1 | 2 | 2 | 3 | 4 | 12
una señal fija = стационарный / постоянный знак | 1 | 2 | 2 | 3 | 4 | 12
indicar la presencia = обозначать присутствие | 1 | 0 | 2 | 0 | 9 | 12
indicar nuestra presencia = обозначить своё присутствие | 1 | 0 | 2 | 0 | 9 | 12
detener el vehículo = остановить автомобиль | 1 | 0 | 1 | 0 | 10 | 12
mantenimiento preventivo del vehículo = профилактическое техническое обслуживание автомобиля | 1 | 0 | 1 | 0 | 10 | 12
vehículo inmovilizado = обездвиженное транспортное средство | 1 | 0 | 1 | 0 | 10 | 12
prohibido estacionar = стоянка запрещена | 1 | 2 | 1 | 3 | 4.83 | 11.83
algún riesgo para la conducción? = любой риск для вождения | 1 | 2 | 2 | 2 | 4.83 | 11.83
bajar del vehículo = выйти из транспортного средства | 1 | 0 | 1 | 0 | 9.83 | 11.83
accidentes por distracciones = аварии из-за отвлечений | 1 | 3 | 2 | 4 | 1.67 | 11.67
Adoptamos la velocidad = подстраиваем скорость | 1 | 2 | 2 | 3 | 3.67 | 11.67
Cambiar de carril = сменить полосу | 1 | 2 | 2 | 3 | 3.67 | 11.67
desarrolla una velocidad = развивает скорость | 1 | 2 | 2 | 3 | 3.67 | 11.67
no tiene intención de adelantar = не собирается обгонять | 1 | 2 | 2 | 3 | 3.67 | 11.67
Poniendo la 2ª velocidad = Включение второй передачи | 1 | 2 | 2 | 3 | 3.67 | 11.67
por la velocidad a la que circulen = из-за скорости, с которой они движутся | 1 | 2 | 2 | 3 | 3.67 | 11.67
velocidad excesiva = чрезмерная скорость | 2 | 2 | 1 | 3 | 3.67 | 11.67
velocidad anormalmente reducida = слишком низкая скорость | 1 | 2 | 1 | 3 | 4.67 | 11.67
avería del alumbrado = неисправность освещения | 1 | 2 | 2 | 2 | 4.67 | 11.67
cruzar la vía = пересекать дорогу | 1 | 0 | 2 | 0 | 8.67 | 11.67
emergencia dentro de la vía = чрезвычайная ситуация на дороге | 1 | 0 | 2 | 0 | 8.67 | 11.67
ningún vehículo = ни одно транспортное средство | 1 | 0 | 1 | 0 | 9.67 | 11.67
